#ArcNumber	Type
644       	FUSE
697       	FUSE
712       	FUSE
2828       	FUSE
656       	FUSE
4760       	FUSE
1647       	FUSE
502       	FUSE
1790       	FUSE
990       	FUSE
2581       	FUSE
307       	FUSE
1015       	FUSE
3211       	FUSE
94       	FUSE
26       	RECLOSER
4973       	FUSE
4289       	FUSE
2569       	FUSE
736       	FUSE
2556       	FUSE
4342       	FUSE
594       	FUSE
2573       	FUSE
1075       	FUSE
1087       	FUSE
1064       	FUSE
1043       	FUSE
1062       	FUSE
1076       	FUSE
4424       	FUSE
1074       	FUSE
3144       	FUSE
5708       	FUSE
1720       	FUSE
4019       	FUSE
4095       	FUSE
4046       	FUSE
3978       	FUSE
2570       	FUSE
5194       	FUSE
5685       	FUSE
5571       	FUSE
5237       	FUSE
5693       	FUSE
4346       	FUSE
1748       	FUSE
4326       	FUSE
4347       	FUSE
4987       	FUSE
2835       	FUSE
2833       	FUSE
4029       	FUSE
4373       	FUSE
4375       	FUSE
2851       	FUSE
2855       	FUSE
3038       	FUSE
4898       	FUSE
3796       	FUSE
1089       	FUSE
746       	FUSE
409       	FUSE
402       	FUSE
2275       	FUSE
2280       	FUSE
1124       	FUSE
5587       	FUSE
2292       	FUSE
3947       	FUSE
686       	FUSE
3725       	FUSE
1693       	FUSE
1295       	FUSE
742       	FUSE
2582       	FUSE
2734       	FUSE
4280       	FUSE
732       	FUSE
728       	FUSE
1025       	FUSE
725       	FUSE
1679       	FUSE
4648       	FUSE
2820       	FUSE
2686       	FUSE
3726       	FUSE
4362       	FUSE
1505       	FUSE
1502       	FUSE
3800       	FUSE
3783       	FUSE
3797       	FUSE
3721       	FUSE
1101       	FUSE
1094       	FUSE
1086       	FUSE
915       	FUSE
3683       	FUSE
1341       	FUSE
4955       	FUSE
3353       	FUSE
5383       	FUSE
1033       	FUSE
5155       	FUSE
3662       	FUSE
1638       	FUSE
1628       	FUSE
4012       	FUSE
1731       	FUSE
4779       	FUSE
5415       	FUSE
1121       	FUSE
2896       	FUSE
88       	FUSE
201       	FUSE
4507       	FUSE
1715       	FUSE
1484       	FUSE
2805       	FUSE
845       	FUSE
1186       	FUSE
2868       	FUSE
878       	FUSE
2866       	FUSE
5183       	FUSE
706       	FUSE
2865       	FUSE
228       	FUSE
703       	FUSE
4380       	FUSE
2848       	FUSE
850       	FUSE
4941       	FUSE
2863       	FUSE
2857       	FUSE
2859       	FUSE
2841       	FUSE
25       	RECLOSER
525       	FUSE
2561       	FUSE
4282       	FUSE
505       	FUSE
287       	FUSE
2572       	FUSE
3668       	FUSE
646       	FUSE
539       	FUSE
647       	FUSE
1698       	FUSE
3788       	FUSE
2987       	FUSE
2824       	FUSE
4013       	FUSE
1713       	FUSE
3019       	FUSE
1717       	FUSE
5561       	FUSE
4199       	FUSE
2402       	FUSE
5211       	FUSE
2404       	FUSE
3360       	FUSE
1742       	FUSE
373       	FUSE
2338       	FUSE
2353       	FUSE
2361       	FUSE
1707       	FUSE
5217       	FUSE
2408       	FUSE
2411       	FUSE
5037       	FUSE
3991       	FUSE
3616       	FUSE
5014       	FUSE
3048       	FUSE
3923       	FUSE
1718       	FUSE
1800       	FUSE
1725       	FUSE
4038       	FUSE
4039       	FUSE
848       	FUSE
5040       	FUSE
3237       	FUSE
3269       	FUSE
3860       	FUSE
3097       	FUSE
3017       	FUSE
3123       	FUSE
1584       	FUSE
5244       	FUSE
3203       	FUSE
3382       	FUSE
3227       	FUSE
5147       	FUSE
4040       	FUSE
3075       	FUSE
916       	FUSE
492       	FUSE
10       	RECLOSER
3790       	FUSE
82       	FUSE
157       	FUSE
162       	FUSE
189       	FUSE
171       	FUSE
143       	FUSE
134       	FUSE
112       	FUSE
110       	FUSE
102       	FUSE
298       	FUSE
5775       	FUSE
256       	FUSE
240       	FUSE
